name,product_url,part_number,brand_name,category,gross_weight,width,length,warranty,material,photo_url,stock_quantity,price
CORREIA DENTADA,https://testdata.devmka.online/products/2d1781bf-c1b1-4c6d-af11-0de353f4c701,IJ273-9020A,MARELLI,Motor,14.1,24.8,11.3,12 meses,Alumínio,https://picsum.photos/seed/IJ273-9020A/200/300,30,642.3
RADIADOR,https://testdata.devmka.online/products/9a660a6c-30fd-4c34-8426-9b209779fb29,DM993-9616K,MONROE,Sistema Elétrico,2.38,43.3,77.9,12 meses,Borracha Sintética,https://picsum.photos/seed/DM993-9616K/200/300,188,1087.82
DISCO DE FREIO,https://testdata.devmka.online/products/703a9459-bbe2-41fd-8b2d-af4151117776,FD839-7112R,NGK,Filtros,13.06,14.3,15.2,12 meses,Borracha Sintética,https://picsum.photos/seed/FD839-7112R/200/300,0,827.46
JUNTA HOMOCINÉTICA,https://testdata.devmka.online/products/0cc86f01-12b2-48de-82b5-4d6d65e7b059,NN005-5054R,ACDELCO,Filtros,6.4,41.1,91.1,12 meses,Alumínio,https://picsum.photos/seed/NN005-5054R/200/300,132,650.27
BOMBA DE COMBUSTÍVEL,https://testdata.devmka.online/products/42a1839a-1d28-4adf-bb20-e6b261621945,IH274-0687F,SKF,Motor,11.88,11.9,49.1,12 meses,Cerâmica,https://picsum.photos/seed/IH274-0687F/200/300,199,1099.44
SONDA LAMBDA,https://testdata.devmka.online/products/761f3c81-1d3c-49f4-852a-c3cd1c5fc307,PM936-4023G,MONROE,Suspensão e Direção,10.96,36.7,36.7,12 meses,Alumínio,https://picsum.photos/seed/PM936-4023G/200/300,51,1134.18
FILTRO DE COMBUSTÍVEL,https://testdata.devmka.online/products/d269988c-678d-4bfe-8b55-bdd3b7ec252f,XJ252-1523K,MONROE,Motor,0.84,38.8,37.1,12 meses,Cerâmica,https://picsum.photos/seed/XJ252-1523K/200/300,27,131.72
CORREIA DENTADA,https://testdata.devmka.online/products/803f2204-e210-46e3-aa11-99a718a2427a,RP058-0419G,BREMBO,Sistema Elétrico,14.73,25.3,95.4,12 meses,Borracha Sintética,https://picsum.photos/seed/RP058-0419G/200/300,158,1386.94
BOMBA DE COMBUSTÍVEL,https://testdata.devmka.online/products/1c27081b-a29c-4ba3-a4ff-83e3007e3da7,HD399-3191X,BREMBO,Freios,10.75,48.8,88.7,12 meses,Borracha Sintética,https://picsum.photos/seed/HD399-3191X/200/300,33,849.39
VELA DE IGNIÇÃO,https://testdata.devmka.online/products/6a8076ec-3861-4d4a-bab7-7022b3e56e26,WY200-4500M,BREMBO,Transmissão,8.12,45.1,88.9,12 meses,Alumínio,https://picsum.photos/seed/WY200-4500M/200/300,52,1210.31
SONDA LAMBDA,https://testdata.devmka.online/products/d08c30c5-b093-43f7-8b1d-c1406a6080e5,RF231-5310J,BREMBO,Sistema Elétrico,1.44,31.5,89.5,12 meses,Cerâmica,https://picsum.photos/seed/RF231-5310J/200/300,115,116.0
FILTRO DE COMBUSTÍVEL,https://testdata.devmka.online/products/b4f6abf0-53e0-4e50-a4a9-760fae5a2847,QA737-6354I,SKF,Motor,0.58,30.5,85.1,12 meses,Borracha Sintética,https://picsum.photos/seed/QA737-6354I/200/300,22,962.2
BICO INJETOR,https://testdata.devmka.online/products/46d743c4-5c72-44ab-a273-9b73c59a88b4,WI974-3046G,MONROE,Suspensão e Direção,12.72,38.8,71.9,12 meses,Aço Carbono,https://picsum.photos/seed/WI974-3046G/200/300,171,392.68
PASTILHA DE FREIO,https://testdata.devmka.online/products/109c54f2-d8bb-43c3-bbeb-e4f97ad591f9,OP171-0739H,MONROE,Freios,13.87,5.7,20.8,12 meses,Alumínio,https://picsum.photos/seed/OP171-0739H/200/300,34,1462.81
BATERIA AUTOMOTIVA,https://testdata.devmka.online/products/aeba3536-4d91-4e47-a63d-52676b18bc2b,SG861-4514W,BREMBO,Transmissão,2.34,40.4,53.1,12 meses,Alumínio,https://picsum.photos/seed/SG861-4514W/200/300,65,430.39
TERMINAL DE DIREÇÃO,https://testdata.devmka.online/products/f2f2c68b-01ee-4164-9dde-99f85614e13a,MR988-3681N,MONROE,Suspensão e Direção,1.3,21.5,94.6,12 meses,Cerâmica,https://picsum.photos/seed/MR988-3681N/200/300,52,272.33
SONDA LAMBDA,https://testdata.devmka.online/products/ab3c585a-1b87-4485-b7d2-7ae2408ee7d5,PO188-4072N,NGK,Freios,5.64,30.5,77.1,12 meses,Alumínio,https://picsum.photos/seed/PO188-4072N/200/300,77,934.98
MOTOR DE PARTIDA,https://testdata.devmka.online/products/19878cb0-913d-4871-a3a9-95439947dd25,RU679-7924N,ACDELCO,Motor,6.29,14.6,38.8,12 meses,Alumínio,https://picsum.photos/seed/RU679-7924N/200/300,72,1441.69
